NUMERO;OPERADOR
928000330;"SIN OPERADOR"
928000331;"SIN OPERADOR"
928000332;"SIN OPERADOR"
928000333;"SIN OPERADOR"
928000334;"SIN OPERADOR"
928000335;"SIN OPERADOR"
928000336;"SIN OPERADOR"
928000337;"SIN OPERADOR"
928000338;"SIN OPERADOR"
928000339;"SIN OPERADOR"
928000340;"SIN OPERADOR"
928000341;"SIN OPERADOR"
928000342;"SIN OPERADOR"
928000343;"SIN OPERADOR"
928000344;"SIN OPERADOR"
928000345;"SIN OPERADOR"
928000346;"SIN OPERADOR"
928000347;"SIN OPERADOR"
928000348;"SIN OPERADOR"
928000349;"SIN OPERADOR"
928000350;"SIN OPERADOR"
928000351;"SIN OPERADOR"
928000352;"SIN OPERADOR"
928000353;"SIN OPERADOR"
928000354;"SIN OPERADOR"
928000355;"SIN OPERADOR"
928000356;"SIN OPERADOR"
928000357;"SIN OPERADOR"
928000358;"SIN OPERADOR"
928000359;"SIN OPERADOR"
928000360;"SIN OPERADOR"
928000361;"SIN OPERADOR"
928000362;"SIN OPERADOR"
928000363;"SIN OPERADOR"
928000364;"SIN OPERADOR"
928000365;"SIN OPERADOR"
928000366;"SIN OPERADOR"
928000367;"SIN OPERADOR"
928000368;"SIN OPERADOR"
928000369;"SIN OPERADOR"
928000370;"SIN OPERADOR"
928000371;"SIN OPERADOR"
928000372;"SIN OPERADOR"
928000373;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000374;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000375;"SIN OPERADOR"
928000376;"SIN OPERADOR"
928000377;"SIN OPERADOR"
928000378;"SIN OPERADOR"
928000379;"SIN OPERADOR"
928000380;"SIN OPERADOR"
928000381;"SIN OPERADOR"
928000382;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000383;"SIN OPERADOR"
928000384;"SIN OPERADOR"
928000385;"SIN OPERADOR"
928000386;"SIN OPERADOR"
928000387;"SIN OPERADOR"
928000388;"SIN OPERADOR"
928000389;"SIN OPERADOR"
928000390;"SIN OPERADOR"
928000391;"SIN OPERADOR"
928000392;"SIN OPERADOR"
928000393;"SIN OPERADOR"
928000394;"SIN OPERADOR"
928000395;"SIN OPERADOR"
928000396;"SIN OPERADOR"
928000397;"SIN OPERADOR"
928000398;"SIN OPERADOR"
